date_click,user_id,button,page
{'$date': '2024-04-07T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-20T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-28T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-23T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-30T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-12T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-02T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-05T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-05T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-02T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-16T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-22T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-09T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-15T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-01T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-02T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-11T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-08T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-23T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-24T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-11T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-21T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-29T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-03T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-01T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-03T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-17T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-18T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-30T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-24T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-22T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-29T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-07T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-01T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-17T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-17T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-01T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-18T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-08T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-16T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-20T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-18T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-18T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-28T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-12T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-03-22T22:47:52.852Z'},65cb1ec639343e926aa823c2,save,A
{'$date': '2024-04-15T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-09T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-11T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-30T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-16T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-30T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-30T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-17T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-12T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-14T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-27T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-29T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-06T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-11T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-08T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-07T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-24T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-26T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-31T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-03T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-04-06T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
{'$date': '2024-03-21T22:47:52.852Z'},65cb1ec639343e926aa823c2,register,A
